function,taylor
4*x + exp(x),x**4/24 + x**3/6 + x**2/2 + 5*x + 1
x - 2,x - 2
2*x - sin(x),x**3/6 + x
0,0
exp(2*x),2*x**4/3 + 4*x**3/3 + 2*x**2 + 2*x + 1
x*exp(x) - sin(x) + 3,x**4/6 + 2*x**3/3 + x**2 + 3
x + 6,x + 6
x - 2,x - 2
-x + exp(x) - 1,x**2*(x**2 + 4*x + 12)/24
2*x - cos(x)**2,-x**4/3 + x**2 + 2*x - 1
x - 2,x - 2
3*x + exp(x),x**4/24 + x**3/6 + x**2/2 + 4*x + 1
cos(x) + 4,x**4/24 - x**2/2 + 5
x**2,x**2
5*cos(x)**2,5*x**4/3 - 5*x**2 + 5
x*sin(x) - exp(x) + 1,x*(-5*x**3 - 4*x**2 + 12*x - 24)/24
x + cos(x) + 5,x**4/24 - x**2/2 + x + 6
x**2 - sin(x),x*(x**2/6 + x - 1)
2*x + exp(x) + 3,x**4/24 + x**3/6 + x**2/2 + 3*x + 4
x,x
exp(x) + 1,x**4/24 + x**3/6 + x**2/2 + x + 2
x + 2,x + 2
cos(x) + 4,x**4/24 - x**2/2 + 5
0,0
x + 5*cos(x) + 1,5*x**4/24 - 5*x**2/2 + x + 6
4*exp(x) + 1,x**4/6 + 2*x**3/3 + 2*x**2 + 4*x + 5
-x - sin(x) + 2,x**3/6 - 2*x + 2
exp(x) + 4,x**4/24 + x**3/6 + x**2/2 + x + 5
2*sin(x) + 4,-x**3/3 + 2*x + 4
x*cos(x) + 5,-x**3/2 + x + 5
10*x + exp(x),x**4/24 + x**3/6 + x**2/2 + 11*x + 1
x*sin(x) + exp(x) + sin(x),-x**4/8 + 3*x**2/2 + 2*x + 1
x - 4,x - 4
x*cos(x) + 5,-x**3/2 + x + 5
1,1
x + sin(x) - 2,-x**3/6 + 2*x - 2
exp(x) - 5,x**4/24 + x**3/6 + x**2/2 + x - 4
x + exp(x) - sin(x),x**4/24 + x**3/3 + x**2/2 + x + 1
-x + exp(x) + cos(x),x**4/12 + x**3/6 + 2
x,x
2*x - 3,2*x - 3
-5*x*sin(x) + 2,5*x**4/6 - 5*x**2 + 2
x + exp(x) - cos(x),x*(x**2 + 6*x + 12)/6
cos(x) + 2,x**4/24 - x**2/2 + 3
-x + cos(x),x**4/24 - x**2/2 - x + 1
1 - x,1 - x
1 - 2*x,1 - 2*x
1 - 2*x,1 - 2*x
exp(x) + sqrt(2)*sin(x + pi/4),x**4/12 + 2*x + 2
10,10
exp(x) - cos(x) - 1,x**3/6 + x**2 + x - 1
x + 2*cos(x),x**4/12 - x**2 + x + 2
x**2,x**2
-2*x + sin(2*x)/2,-2*x**3/3 - x
x*(2 - cos(x)),x**3/2 + x
12*sin(x),2*x*(6 - x**2)
3*cos(x) + 4,x**4/8 - 3*x**2/2 + 7
x,x
x**2*sin(x),x**3
x - 2,x - 2
5,5
x**2 - exp(x) + sin(x),-x**4/24 - x**3/3 + x**2/2 - 1
4*exp(x),x**4/6 + 2*x**3/3 + 2*x**2 + 4*x + 4
-x + exp(x),x**4/24 + x**3/6 + x**2/2 + 1
sin(x)**2 + 1,-x**4/3 + x**2 + 1
-x + sin(x) + 12,12 - x**3/6
x**2,x**2
sin(x) - 6,-x**3/6 + x - 6
x + 6,x + 6
x + 6,x + 6
1 - x,1 - x
x + exp(x)*sin(x),x*(x**2 + 3*x + 6)/3
2*sin(x),x*(6 - x**2)/3
x**2 + sin(x) + 3,-x**3/6 + x**2 + x + 3
9*x,9*x
x*sin(x) + exp(x) + cos(x),-x**4/12 + x**3/6 + x**2 + x + 2
-x*cos(x) - x + exp(x),x**4/24 + 2*x**3/3 + x**2/2 - x + 1
-x + 3*cos(x),x**4/8 - 3*x**2/2 - x + 3
-x - exp(x) + 2,-x**4/24 - x**3/6 - x**2/2 - 2*x + 1
x**2*exp(x),x**2*(x**2/2 + x + 1)
x**2 - exp(x) + sin(x),-x**4/24 - x**3/3 + x**2/2 - 1
exp(x) - 2*cos(x) + 1,x*(-x**3 + 4*x**2 + 36*x + 24)/24
x - sin(x) + 6,x**3/6 + 6
x*(3*sin(x) + 1),x*(-x**3 + 6*x + 2)/2
5*sin(x),5*x*(6 - x**2)/6
2*x + exp(x) + cos(x),x**4/12 + x**3/6 + 3*x + 2
2*x*cos(x),x*(2 - x**2)
10 - x,10 - x
-x - sin(x) + 5,x**3/6 - 2*x + 5
2,2
x - cos(x),-x**4/24 + x**2/2 + x - 1
-2,-2
16*x*sin(x),8*x**2*(6 - x**2)/3
-x - sin(x),x*(x**2 - 12)/6
1,1
x + 3*cos(x),x**4/8 - 3*x**2/2 + x + 3
2*x,2*x
-x + sin(x)**2,x*(-x**3/3 + x - 1)
x*sin(x) + exp(x),-x**4/8 + x**3/6 + 3*x**2/2 + x + 1
cos(x),x**4/24 - x**2/2 + 1
2*x + cos(x),x**4/24 - x**2/2 + 2*x + 1
-x + cos(x),x**4/24 - x**2/2 - x + 1
x**3*cos(x),x**3
-1,-1
5*x - sin(2*x)/2,2*x*(x**2 + 6)/3
-2*exp(x),-x**4/12 - x**3/3 - x**2 - 2*x - 2
-2,-2
x**2,x**2
exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
6,6
x + sin(x) + 3,-x**3/6 + 2*x + 3
sin(x) + cos(x) + 3,x**4/24 - x**3/6 - x**2/2 + x + 4
20,20
x - sin(x) + 4,x**3/6 + 4
17 - x,17 - x
-x + exp(x),x**4/24 + x**3/6 + x**2/2 + 1
5 - cos(x),-x**4/24 + x**2/2 + 4
cos(x) - 4,x**4/24 - x**2/2 - 3
2,2
x*exp(x) + sqrt(2)*cos(x + pi/4),5*x**4/24 + 2*x**3/3 + x**2/2 + 1
(3*x + 1)*cos(x),x**4/24 - 3*x**3/2 - x**2/2 + 3*x + 1
2*x,2*x
-exp(x) - 2,-x**4/24 - x**3/6 - x**2/2 - x - 3
x - exp(x) - 2,-x**4/24 - x**3/6 - x**2/2 - 3
x - cos(x) - 2,-x**4/24 + x**2/2 + x - 3
2*x - cos(x),-x**4/24 + x**2/2 + 2*x - 1
x + sin(x) - 5,-x**3/6 + 2*x - 5
x + 4,x + 4
6*sin(x) + 3,-x**3 + 6*x + 3
2 - sin(x),x**3/6 - x + 2
2*x - 4*exp(x),-x**4/6 - 2*x**3/3 - 2*x**2 - 2*x - 4
0,0
3 - x,3 - x
4*x - 4,4*x - 4
x*(-x + cos(x)),x*(-x**2/2 - x + 1)
(exp(x) + 1)*sin(x),x*(x**2 + 6*x + 12)/6
cos(x)**2 + 1,x**4/3 - x**2 + 2
-2*x + exp(x) + sin(x),x**4/24 + x**2/2 + 1
2*exp(x) + cos(x),x**4/8 + x**3/3 + x**2/2 + 2*x + 3
3*x + sin(x),x*(24 - x**2)/6
3,3
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
-x + 2*sin(x) + cos(x),x**4/24 - x**3/3 - x**2/2 + x + 1
sin(x) + 3,-x**3/6 + x + 3
2,2
2*x,2*x
-3*x - 1,-3*x - 1
x + 4,x + 4
-x + sqrt(2)*cos(x + pi/4) + 1,x**4/24 + x**3/6 - x**2/2 - 2*x + 2
5,5
exp(x) - 1,x*(x**3 + 4*x**2 + 12*x + 24)/24
3*x,3*x
x*sin(x) + 5,-x**4/6 + x**2 + 5
sin(x) - 1,-x**3/6 + x - 1
x*sin(x),-x**4/6 + x**2
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
-2,-2
0,0
2*x,2*x
sin(x) + 3*cos(x),x**4/8 - x**3/6 - 3*x**2/2 + x + 3
exp(x)*cos(x) - sin(x),-x**4/6 - x**3/6 + 1
5*sin(x) + 2,-5*x**3/6 + 5*x + 2
x + sin(x) - 3,-x**3/6 + 2*x - 3
x - sin(x) - 1,x**3/6 - 1
exp(x) - 4,x**4/24 + x**3/6 + x**2/2 + x - 3
20*x + 5,20*x + 5
cos(x) + 1,x**4/24 - x**2/2 + 2
x + 1,x + 1
x + 1,x + 1
2*x + exp(x)*sin(x),x*(x**2 + 3*x + 9)/3
x*cos(x) + exp(x),x**4/24 - x**3/3 + x**2/2 + 2*x + 1
-x - sin(x) + 4,x**3/6 - 2*x + 4
4*x,4*x
x + sin(x),x*(12 - x**2)/6
(1 - x)*exp(x),-x**4/8 - x**3/3 - x**2/2 + 1
-17,-17
x*(exp(x) + 2),x*(x**3 + 3*x**2 + 6*x + 18)/6
x,x
5 - sin(x),x**3/6 - x + 5
x + sin(x) - 2,-x**3/6 + 2*x - 2
7 - x,7 - x
2*x,2*x
exp(x) - sin(x),x**4/24 + x**3/3 + x**2/2 + 1
x - cos(x),-x**4/24 + x**2/2 + x - 1
x*(cos(x) + 1),x*(4 - x**2)/2
2*x,2*x
-4*x,-4*x
2*x,2*x
5*x + 3,5*x + 3
x - cos(x)**2,-x**4/3 + x**2 + x - 1
-x,-x
exp(x) + 3,x**4/24 + x**3/6 + x**2/2 + x + 4
2 - x,2 - x
-x - 2*exp(x) + 3,-x**4/12 - x**3/3 - x**2 - 3*x + 1
x + sin(x) - 1,-x**3/6 + 2*x - 1
2*x,2*x
exp(x) - 20,x**4/24 + x**3/6 + x**2/2 + x - 19
x*exp(x) + x - 3,x**4/6 + x**3/2 + x**2 + 2*x - 3
4*exp(x) + cos(x),5*x**4/24 + 2*x**3/3 + 3*x**2/2 + 4*x + 5
exp(x) + 3,x**4/24 + x**3/6 + x**2/2 + x + 4
x - 4,x - 4
12*sin(x) + 2,-2*x**3 + 12*x + 2
x - 5,x - 5
(4*x - 1)*sin(x),x*(-4*x**3 + x**2 + 24*x - 6)/6
x**2,x**2
x + cos(x) - 5,x**4/24 - x**2/2 + x - 4
x - 8,x - 8
x**2,x**2
x - sin(x) + 3,x**3/6 + 3
15*x,15*x
-x + cos(x)**2,x**4/3 - x**2 - x + 1
25 - x,25 - x
exp(x) + 4,x**4/24 + x**3/6 + x**2/2 + x + 5
3*x - exp(x),-x**4/24 - x**3/6 - x**2/2 + 2*x - 1
x*(1 - x),x*(1 - x)
5*x*exp(x),5*x*(x**3 + 3*x**2 + 6*x + 6)/6
2*x - 4,2*x - 4
exp(x) - cos(x) + 5,x**3/6 + x**2 + x + 5
x + sin(x),x*(12 - x**2)/6
3*sin(x),x*(6 - x**2)/2
x*cos(x) - 3*exp(x),-x**4/8 - x**3 - 3*x**2/2 - 2*x - 3
cos(x) + 4,x**4/24 - x**2/2 + 5
-x,-x
exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
x + cos(x),x**4/24 - x**2/2 + x + 1
x + 1,x + 1
1 - exp(x),x*(-x**3 - 4*x**2 - 12*x - 24)/24
5 - cos(x),-x**4/24 + x**2/2 + 4
5 - sin(x),x**3/6 - x + 5
x + exp(x) + cos(x)**2,3*x**4/8 + x**3/6 - x**2/2 + 2*x + 2
cos(x) + 2,x**4/24 - x**2/2 + 3
x + 10,x + 10
x - 1,x - 1
-2*x + exp(x),x**4/24 + x**3/6 + x**2/2 - x + 1
-x**3 + x,-x**3 + x
-sin(x) + cos(x),x**4/24 + x**3/6 - x**2/2 - x + 1
cos(x) + 6,x**4/24 - x**2/2 + 7
2*x,2*x
-x + 2*sin(x),-x**3/3 + x
sin(x) - 1,-x**3/6 + x - 1
3*cos(x),x**4/8 - 3*x**2/2 + 3
5 - sin(x),x**3/6 - x + 5
-2*x**2 + cos(x),x**4/24 - 5*x**2/2 + 1
sin(x),-x**3/6 + x
x**2,x**2
2,2
7 - 5*x,7 - 5*x
sin(x) + 5,-x**3/6 + x + 5
5 - 3*x,5 - 3*x
cos(x) - 1,x**2*(x**2 - 12)/24
3 - 4*x,3 - 4*x
x*(x + 1),x*(x + 1)
5 - 2*x,5 - 2*x
sin(x) - 1,-x**3/6 + x - 1
x**2*exp(x),x**2*(x**2/2 + x + 1)
2*x + cos(x),x**4/24 - x**2/2 + 2*x + 1
1,1
cos(x),x**4/24 - x**2/2 + 1
-x**2 + x + 5,-x**2 + x + 5
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
x*(3 - x),x*(3 - x)
-exp(x) + sin(x),-x**4/24 - x**3/3 - x**2/2 - 1
-x + sin(x)**2 - 3,-x**4/3 + x**2 - x - 3
x*cos(x) - 1,-x**3/2 + x - 1
cos(x) + 4,x**4/24 - x**2/2 + 5
4*x**2*sin(x),4*x**3
x + cos(x) + 3,x**4/24 - x**2/2 + x + 4
x - 2,x - 2
x + cos(x),x**4/24 - x**2/2 + x + 1
sin(x) + 3,-x**3/6 + x + 3
-exp(x),-x**4/24 - x**3/6 - x**2/2 - x - 1
x + cos(x),x**4/24 - x**2/2 + x + 1
exp(x)*cos(x) + 3,-x**4/6 - x**3/3 + x + 4
x + 2,x + 2
exp(x) - 7,x**4/24 + x**3/6 + x**2/2 + x - 6
x + exp(x) - sin(x) + 4,x**4/24 + x**3/3 + x**2/2 + x + 5
-5*x*cos(x) + sin(x),x*(7*x**2 - 12)/3
x*(cos(x) - 2),-x**3/2 - x
x - exp(x),-x**4/24 - x**3/6 - x**2/2 - 1
x + 2*cos(x) + 1,x**4/12 - x**2 + x + 3
x**2,x**2
x + exp(x)*sin(x),x*(x**2 + 3*x + 6)/3
-x*exp(x) + x - cos(x),-5*x**4/24 - x**3/2 - x**2/2 - 1
x + sin(x)**2 - 2,-x**4/3 + x**2 + x - 2
cos(x) - 5,x**4/24 - x**2/2 - 4
-cos(x),-x**4/24 + x**2/2 - 1
-x + exp(x) + 3,x**4/24 + x**3/6 + x**2/2 + 4
10*x + sin(x),x*(66 - x**2)/6
2*x - sin(x),x**3/6 + x
x - sin(x),x**3/6
3*x,3*x
-x + exp(x) + 2*cos(x),x**4/8 + x**3/6 - x**2/2 + 3
x + 14,x + 14
-x + 4*cos(x) - 4,x*(x**3 - 12*x - 6)/6
exp(x) + sin(x) + 3,x**4/24 + x**2/2 + 2*x + 4
-x + sin(x) + 4,4 - x**3/6
2 - 3*cos(x),-x**4/8 + 3*x**2/2 - 1
2*cos(x),x**4/12 - x**2 + 2
x**2 + exp(x) - 4,x**4/24 + x**3/6 + 3*x**2/2 + x - 3
4*x**2*cos(x),2*x**2*(2 - x**2)
(1 - 3*x)*cos(x),x**4/24 + 3*x**3/2 - x**2/2 - 3*x + 1
x + 15,x + 15
-x + 2*cos(x),x**4/12 - x**2 - x + 2
x**2*sin(x) + cos(x),x**4/24 + x**3 - x**2/2 + 1
exp(x) - 7,x**4/24 + x**3/6 + x**2/2 + x - 6
3*x,3*x
-x + cos(x),x**4/24 - x**2/2 - x + 1
5*sin(x),5*x*(6 - x**2)/6
x*cos(x) - cos(x) - 5,-x**4/24 - x**3/2 + x**2/2 + x - 6
x + exp(x) + 3,x**4/24 + x**3/6 + x**2/2 + 2*x + 4
x**2 + cos(x),x**4/24 + x**2/2 + 1
-x + exp(x) + sin(x),x**4/24 + x**2/2 + x + 1
2,2
3*exp(x) - cos(x) + 1,x**4/12 + x**3/2 + 2*x**2 + 3*x + 3
-sin(x) + cos(x) - 5,x**4/24 + x**3/6 - x**2/2 - x - 4
exp(x)*cos(x) + 4,-x**4/6 - x**3/3 + x + 5
cos(x) + 2,x**4/24 - x**2/2 + 3
3*x,3*x
x*(cos(x) + 1),x*(4 - x**2)/2
2*x,2*x
-sin(x),x**3/6 - x
1,1
3*exp(x) - cos(x),x**4/12 + x**3/2 + 2*x**2 + 3*x + 2
x**2 - exp(x),-x**4/24 - x**3/6 + x**2/2 - x - 1
0,0
x + 3*exp(x)*sin(x),x*(x**2 + 3*x + 4)
2*x + cos(x) + 1,x**4/24 - x**2/2 + 2*x + 2
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
x + sin(x),x*(12 - x**2)/6
x*sin(x) + cos(x),-x**4/8 + x**2/2 + 1
5*x*exp(x),5*x*(x**3 + 3*x**2 + 6*x + 6)/6
x - cos(x) + 2,-x**4/24 + x**2/2 + x + 1
x**2*cos(x) + exp(x),-11*x**4/24 + x**3/6 + 3*x**2/2 + x + 1
x*(1 - x),x*(1 - x)
-x + sin(x) - cos(x),-x**4/24 - x**3/6 + x**2/2 - 1
x + 4,x + 4
5 - x,5 - x
sin(x) - 4,-x**3/6 + x - 4
cos(x) - 4,x**4/24 - x**2/2 - 3
exp(x) + 2*sin(x),x**4/24 - x**3/6 + x**2/2 + 3*x + 1
x**2,x**2
-2*x - exp(x) + 5,-x**4/24 - x**3/6 - x**2/2 - 3*x + 4
2*x - cos(x) + 1,x*(-x**3 + 12*x + 48)/24
-x**2 - x + cos(x),x**4/24 - 3*x**2/2 - x + 1
cos(x) - 1,x**2*(x**2 - 12)/24
sin(2*x)/2,-2*x**3/3 + x
4*x,4*x
2*exp(x),x**4/12 + x**3/3 + x**2 + 2*x + 2
x + exp(x) + sin(x) + 3,x**4/24 + x**2/2 + 3*x + 4
x**2,x**2
x + sin(x),x*(12 - x**2)/6
x + 2,x + 2
4,4
exp(2*x) - 2,2*x**4/3 + 4*x**3/3 + 2*x**2 + 2*x - 1
x - sin(x) + 4,x**3/6 + 4
x + 4,x + 4
x - exp(2*x),-2*x**4/3 - 4*x**3/3 - 2*x**2 - x - 1
x*sin(x) - exp(x),-5*x**4/24 - x**3/6 + x**2/2 - x - 1
x*sin(x),-x**4/6 + x**2
2*x - sin(x)**2,x*(x**3 - 3*x + 6)/3
2*x + cos(x) - 4,x**4/24 - x**2/2 + 2*x - 3
exp(x) + sin(x) + 6,x**4/24 + x**2/2 + 2*x + 7
2,2
exp(x)*sin(x) + exp(x) + 5,x**4/24 + x**3/2 + 3*x**2/2 + 2*x + 6
x + 3*sin(x),x*(8 - x**2)/2
x + cos(x) - 5,x**4/24 - x**2/2 + x - 4
(1 - x)*cos(x),x**4/24 + x**3/2 - x**2/2 - x + 1
3*x + 1,3*x + 1
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
3*x + exp(x) + 3,x**4/24 + x**3/6 + x**2/2 + 4*x + 4
-x**2 + x + cos(x),x**4/24 - 3*x**2/2 + x + 1
-2,-2
3*cos(x),x**4/8 - 3*x**2/2 + 3
3*x,3*x
-x - 4,-x - 4
1 - x,1 - x
-x - sin(x) + 5*cos(x),5*x**4/24 + x**3/6 - 5*x**2/2 - 2*x + 5
exp(x) + 2*sin(x),x**4/24 - x**3/6 + x**2/2 + 3*x + 1
sin(2*x)/2 - cos(x) + 4,-x**4/24 - 2*x**3/3 + x**2/2 + x + 3
(cos(x) + 1)*exp(x),-x**4/8 - x**3/6 + x**2/2 + 2*x + 2
sin(2*x)/2,-2*x**3/3 + x
0,0
0,0
2*x + sin(x) + 2,-x**3/6 + 3*x + 2
2*x + exp(x),x**4/24 + x**3/6 + x**2/2 + 3*x + 1
-2*x - exp(x) + 5,-x**4/24 - x**3/6 - x**2/2 - 3*x + 4
x + 1,x + 1
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
x + cos(x) + 2,x**4/24 - x**2/2 + x + 3
x*(exp(x) - 2),x*(x**3/6 + x**2/2 + x - 1)
x*sin(x) + 3,-x**4/6 + x**2 + 3
-exp(x) - 3,-x**4/24 - x**3/6 - x**2/2 - x - 4
x - exp(x) + cos(x),x**2*(-x - 6)/6
-sin(x),x**3/6 - x
3 - x,3 - x
x + sin(x) - 16,-x**3/6 + 2*x - 16
x*exp(x) - x - exp(x),x**4/8 + x**3/3 + x**2/2 - x - 1
0,0
sin(x) - cos(x) + 1,x*(-x**3 - 4*x**2 + 12*x + 24)/24
x - 2,x - 2
x + sin(x),x*(12 - x**2)/6
-cos(x),-x**4/24 + x**2/2 - 1
2*cos(x),x**4/12 - x**2 + 2
2,2
exp(2*x),2*x**4/3 + 4*x**3/3 + 2*x**2 + 2*x + 1
x + 4,x + 4
8*x**2,8*x**2
-4*x,-4*x
-x*exp(x) - x + 4,-x**4/6 - x**3/2 - x**2 - 2*x + 4
exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
2*exp(x) + cos(x),x**4/8 + x**3/3 + x**2/2 + 2*x + 3
x - 3,x - 3
exp(2*x)*cos(x) + 4,-7*x**4/24 + x**3/3 + 3*x**2/2 + 2*x + 5
(1 - x**2)*sin(x),-7*x**3/6 + x
5*x + 2,5*x + 2
x*exp(2*x),x*(4*x**3 + 6*x**2 + 6*x + 3)/3
x*(sin(x) - 1),x*(-x**3/6 + x - 1)
exp(2*x) - cos(x),x*(15*x**3 + 32*x**2 + 60*x + 48)/24
-2,-2
3*x - sin(x)**2,x*(x**3 - 3*x + 9)/3
x*exp(x) - 3,x**4/6 + x**3/2 + x**2 + x - 3
2 - x,2 - x
4*x + 5,4*x + 5
-x + exp(x),x**4/24 + x**3/6 + x**2/2 + 1
exp(x) + cos(x),x**4/12 + x**3/6 + x + 2
-x - exp(x),-x**4/24 - x**3/6 - x**2/2 - 2*x - 1
cos(x) - 4,x**4/24 - x**2/2 - 3
x + 6,x + 6
5*x*exp(x)*cos(x),5*x*(-x**3 + 3*x + 3)/3
exp(x) + 3,x**4/24 + x**3/6 + x**2/2 + x + 4
x**2*sin(x),x**3
sin(x) - cos(x),-x**4/24 - x**3/6 + x**2/2 + x - 1
sin(x) + 4,-x**3/6 + x + 4
-x*exp(x) + sin(x),x**2*(-x**2 - 4*x - 6)/6
cos(x) - 5,x**4/24 - x**2/2 - 4
x*sin(x) - 2,-x**4/6 + x**2 - 2
x**2 - sin(x) + 3,x**3/6 + x**2 - x + 3
x**2 + x + cos(x),x**4/24 + x**2/2 + x + 1
-x*cos(x) + x - sin(x),2*x**3/3 - x
-x + sin(x),-x**3/6
-2*x,-2*x
cos(x) + 6,x**4/24 - x**2/2 + 7
x - exp(x) + 2,-x**4/24 - x**3/6 - x**2/2 + 1
2*x + 3,2*x + 3
-4*x + exp(x) + 1,x**4/24 + x**3/6 + x**2/2 - 3*x + 2
exp(x) - cos(x),x*(x**2/6 + x + 1)
exp(x) + cos(x) + 10,x**4/12 + x**3/6 + x + 12
x + 4,x + 4
-x*exp(x) + 3,-x**4/6 - x**3/2 - x**2 - x + 3
5 - x,5 - x
-x - 1,-x - 1
-x*sin(x) + sin(x) + 1,x**4/6 - x**3/6 - x**2 + x + 1
x - exp(x),-x**4/24 - x**3/6 - x**2/2 - 1
x + sin(x),x*(12 - x**2)/6
4,4
x*exp(x) + cos(x)**2,x**4/2 + x**3/2 + x + 1
2*x,2*x
x - cos(x),-x**4/24 + x**2/2 + x - 1
x + 1,x + 1
2*sin(2*x),-8*x**3/3 + 4*x
x + 1,x + 1
3*x + exp(x),x**4/24 + x**3/6 + x**2/2 + 4*x + 1
12,12
3*cos(x),x**4/8 - 3*x**2/2 + 3
x**2,x**2
x**2 - exp(x) + 2,-x**4/24 - x**3/6 + x**2/2 - x + 1
sin(x) + 4*cos(x),x**4/6 - x**3/6 - 2*x**2 + x + 4
sin(x) - 3,-x**3/6 + x - 3
4*x + exp(x)*cos(x),-x**4/6 - x**3/3 + 5*x + 1
4 - sin(x),x**3/6 - x + 4
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
-x + 5*sin(x),x*(24 - 5*x**2)/6
x**2,x**2
x - 5,x - 5
4 - x,4 - x
exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
x*cos(x),-x**3/2 + x
x - exp(x),-x**4/24 - x**3/6 - x**2/2 - 1
cos(x) - 2,x**4/24 - x**2/2 - 1
4 - cos(x),-x**4/24 + x**2/2 + 3
x + sin(x) - 3,-x**3/6 + 2*x - 3
-x + cos(x),x**4/24 - x**2/2 - x + 1
x*sin(x),-x**4/6 + x**2
5*x*cos(x),5*x*(2 - x**2)/2
2*x + sin(x),x*(18 - x**2)/6
12*sin(x) + 4,-2*x**3 + 12*x + 4
3 - x,3 - x
x + sin(x) + 4,-x**3/6 + 2*x + 4
5 - 25*x,5 - 25*x
x*sin(x),-x**4/6 + x**2
-3*x + exp(x) + 3,x**4/24 + x**3/6 + x**2/2 - 2*x + 4
x*exp(x) - 1,x**4/6 + x**3/2 + x**2 + x - 1
x*sin(x) - exp(x),-5*x**4/24 - x**3/6 + x**2/2 - x - 1
15*exp(x) + 5,5*x**4/8 + 5*x**3/2 + 15*x**2/2 + 15*x + 20
x*(x*sin(x) - 1),x**3 - x
x + cos(x) + 2,x**4/24 - x**2/2 + x + 3
1,1
-15*sin(x),5*x*(x**2 - 6)/2
12*x*cos(x),6*x*(2 - x**2)
cos(x) + 2,x**4/24 - x**2/2 + 3
sin(x) + 7,-x**3/6 + x + 7
2*x,2*x
-x + exp(x) + cos(x),x**4/12 + x**3/6 + 2
0,0
x*cos(x),-x**3/2 + x
2*x - 1,2*x - 1
x + 18,x + 18
exp(x) + 5,x**4/24 + x**3/6 + x**2/2 + x + 6
4*cos(x),x**4/6 - 2*x**2 + 4
x - exp(x) + 3,-x**4/24 - x**3/6 - x**2/2 + 2
2*x,2*x
3*x,3*x
sin(x) + 5,-x**3/6 + x + 5
2*exp(x) - 1,x**4/12 + x**3/3 + x**2 + 2*x + 1
(exp(x) - 1)*cos(x),x*(-5*x**3 - 8*x**2 + 12*x + 24)/24
2*x + sin(2*x)/2,x*(9 - 2*x**2)/3
3*x,3*x
x*cos(x) + 5,-x**3/2 + x + 5
x**2*cos(x) + exp(x),-11*x**4/24 + x**3/6 + 3*x**2/2 + x + 1
0,0
6,6
x - sin(2*x)/2,2*x**3/3
-11,-11
x + 8,x + 8
sin(x) + 3,-x**3/6 + x + 3
2*exp(x) + sin(x),x**4/12 + x**3/6 + x**2 + 3*x + 2
1,1
x*cos(x) + sin(x),2*x*(3 - x**2)/3
1 - 4*x**2,1 - 4*x**2
-exp(x) + sin(x) + 3,-x**4/24 - x**3/3 - x**2/2 + 2
2*x + cos(x)**2,x**4/3 - x**2 + 2*x + 1
2*x,2*x
x - 4*sin(x) + 5,2*x**3/3 - 3*x + 5
x + sin(x),x*(12 - x**2)/6
-x**2,-x**2
exp(x) - sin(x),x**4/24 + x**3/3 + x**2/2 + 1
x*(sin(x) + 1),x*(-x**3/6 + x + 1)
6,6
1 - cos(x),x**2*(12 - x**2)/24
-exp(x) + cos(x),-x*(x**2/6 + x + 1)
-1,-1
2 - sin(x),x**3/6 - x + 2
x + 5,x + 5
-5,-5
2*x**2 - cos(x),-x**4/24 + 5*x**2/2 - 1
exp(2*x) + 1,2*x**4/3 + 4*x**3/3 + 2*x**2 + 2*x + 2
x*(sin(x) + 1),x*(-x**3/6 + x + 1)
x - 4*cos(x) - 2,-x**4/6 + 2*x**2 + x - 6
x - exp(x) + cos(x),x**2*(-x - 6)/6
-5,-5
(-x + sin(x))*exp(x),x**3*(-x - 1)/6
exp(x) - 10,x**4/24 + x**3/6 + x**2/2 + x - 9
5*x - 1,5*x - 1
1 - 2*exp(x),-x**4/12 - x**3/3 - x**2 - 2*x - 1
sin(x) + 15,-x**3/6 + x + 15
-2,-2
x - exp(x),-x**4/24 - x**3/6 - x**2/2 - 1
3*x + exp(x) + 3,x**4/24 + x**3/6 + x**2/2 + 4*x + 4
x,x
x**2 + sin(x) - 1,-x**3/6 + x**2 + x - 1
x - sin(x),x**3/6
26,26
0,0
-4*exp(2*x) + sin(x),-8*x**4/3 - 11*x**3/2 - 8*x**2 - 7*x - 4
cos(x) + 4,x**4/24 - x**2/2 + 5
x + 4,x + 4
exp(x) - 8,x**4/24 + x**3/6 + x**2/2 + x - 7
7,7
x - exp(x) + 4,-x**4/24 - x**3/6 - x**2/2 + 3
-x + exp(2*x) + 1,2*x**4/3 + 4*x**3/3 + 2*x**2 + x + 2
-2*x,-2*x
x*sin(x) + x + exp(x),-x**4/8 + x**3/6 + 3*x**2/2 + 2*x + 1
x - exp(x) - sqrt(2)*cos(x + pi/4),-x**4/12 - x**3/3 + x - 2
4*x + 2,4*x + 2
x*(cos(x) + 1),x*(4 - x**2)/2
